fid,nom_officiel,nom_officiel_en_majuscules,code_insee,code_insee_du_departement,code_insee_de_la_region,codes_siren_des_epci,latitude,longitude
1,L'Abergement-Clémenciat,L'ABERGEMENT-CLEMENCIAT,"01001","01","84","200069193",46.15372,4.92585
2,L'Abergement-de-Varey,L'ABERGEMENT-DE-VAREY,"01002","01","84","240100883",46.00961,5.42809
3,Ambérieu-en-Bugey,AMBERIEU-EN-BUGEY,"01004","01","84","240100883",45.96105,5.37228
4,Ambérieux-en-Dombes,AMBERIEUX-EN-DOMBES,"01005","01","84","200042497",45.99616,4.91197
5,Ambléon,AMBLEON,"01006","01","84","200040350",45.74988,5.59459
6,Ambronay,AMBRONAY,"01007","01","84","240100883",46.00569,5.35775
7,Ambutrix,AMBUTRIX,"01008","01","84","240100883",45.93668,5.33244
8,Andert-et-Condon,ANDERT-ET-CONDON,"01009","01","84","200040350",45.78720,5.65780
9,Anglefort,ANGLEFORT,"01010","01","84","200070852",45.90909,5.79506
10,Apremont,APREMONT,"01011","01","84","200042935",46.20588,5.65798
11,Aranc,ARANC,"01012","01","84","200042935",46.00129,5.51094
12,Arandas,ARANDAS,"01013","01","84","240100883",45.89023,5.49892
13,Arbent,ARBENT,"01014","01","84","200042935",46.28360,5.69075
14,Arboys en Bugey,ARBOYS EN BUGEY,"01015","01","84","200040350",45.71279,5.64168
15,Arbigny,ARBIGNY,"01016","01","84","200071371",46.47760,4.96010
16,Argis,ARGIS,"01017","01","84","240100883",45.93350,5.48260
17,Armix,ARMIX,"01019","01","84","200040350",45.85449,5.58303
18,Ars-sur-Formans,ARS-SUR-FORMANS,"01021","01","84","200042497",45.99354,4.82196
19,Artemare,ARTEMARE,"01022","01","84","200040350",45.86963,5.69009
20,Asnières-sur-Saône,ASNIERES-SUR-SAONE,"01023","01","84","200071371",46.38521,4.88371
21,Attignat,ATTIGNAT,"01024","01","84","200071751",46.28606,5.17982
22,Bâgé-Dommartin,BAGE-DOMMARTIN,"01025","01","84","200071371",46.32747,4.96700
